name,label
uhgage14,DV: Age last birthday at June 30 2021 - person 14
uhgage15,DV: Age last birthday at June 30 2021 - person 15
uhgage16,DV: Age last birthday at June 30 2021 - person 16
uhgage17,DV: Age last birthday at June 30 2021 - person 17
uhgage18,DV: Age last birthday at June 30 2021 - person 18
uhgage19,DV: Age last birthday at June 30 2021 - person 19
uhgage20,DV: Age last birthday at June 30 2021 - person 20
uhghhm1,HF8 Household membership - 0001
uhghhm2,HF8 Household membership - 0002
uhghhm3,HF8 Household membership - 0003
uhghhm4,HF8 Household membership - 0004
uhghhm5,HF8 Household membership - 0005
uhghhm6,HF8 Household membership - 0006
uhghhm7,HF8 Household membership - 0007
uhghhm8,HF8 Household membership - 0008
uhghhm9,HF8 Household membership - 0009
uhghhm10,HF8 Household membership - 0010
uhghhm11,HF8 Household membership - 0011
uhghhm12,HF8 Household membership - 0012
uhghhm13,HF8 Household membership - 0013
uhghhm14,HF8 Household membership - 0014
uhghhm15,HF8 Household membership - 0015
uhghhm16,HF8 Household membership - 0016
uhghhm17,HF8 Household membership - 0017
uhghhm18,HF8 Household membership - 0018
uhghhm19,HF8 Household membership - 0019
uhghhm20,HF8 Household membership - 0020
uhgylv1,HF10 Why living with - 0001
uhgylv2,HF10 Why living with - 0002
uhgylv3,HF10 Why living with - 0003
uhgylv4,HF10 Why living with - 0004
uhgylv5,HF10 Why living with - 0005
uhgylv6,HF10 Why living with - 0006
uhgylv7,HF10 Why living with - 0007
uhgylv8,HF10 Why living with - 0008
uhgylv9,HF10 Why living with - 0009
uhgylv10,HF10 Why living with - 0010
uhgylv11,HF10 Why living with - 0011
uhgylv12,HF10 Why living with - 0012
uhgylv13,HF10 Why living with - 0013
uhgylv14,HF10 Why living with - 0014
uhgylv15,HF10 Why living with - 0015
uhgylv16,HF10 Why living with - 0016
uhgylv17,HF10 Why living with - 0017
uhgylv18,HF10 Why living with - 0018
uhgylv19,HF10 Why living with - 0019
uhgylv20,HF10 Why living with - 0020
uhgylf1,HF11 Why left - 0001
uhgylf2,HF11 Why left - 0002
uhgylf3,HF11 Why left - 0003
uhgylf4,HF11 Why left - 0004
uhgylf5,HF11 Why left - 0005
uhgylf6,HF11 Why left - 0006
uhgylf7,HF11 Why left - 0007
uhgylf8,HF11 Why left - 0008
uhgylf9,HF11 Why left - 0009
uhgylf10,HF11 Why left - 0010
uhgylf11,HF11 Why left - 0011
uhgylf12,HF11 Why left - 0012
uhgylf13,HF11 Why left - 0013
uhgylf14,HF11 Why left - 0014
uhgylf15,HF11 Why left - 0015
uhgylf16,HF11 Why left - 0016
uhgylf17,HF11 Why left - 0017
uhgylf18,HF11 Why left - 0018
uhgylf19,HF11 Why left - 0019
uhgylf20,HF11 Why left - 0020
uhgjlm1,HF12 Date left/joined (month) - 0001
uhgjlm2,HF12 Date left/joined (month) - 0002
uhgjlm3,HF12 Date left/joined (month) - 0003
uhgjlm4,HF12 Date left/joined (month) - 0004
uhgjlm5,HF12 Date left/joined (month) - 0005
uhgjlm6,HF12 Date left/joined (month) - 0006
uhgjlm7,HF12 Date left/joined (month) - 0007
uhgjlm8,HF12 Date left/joined (month) - 0008
uhgjlm9,HF12 Date left/joined (month) - 0009
uhgjlm10,HF12 Date left/joined (month) - 0010
uhgjlm11,HF12 Date left/joined (month) - 0011
uhgjlm12,HF12 Date left/joined (month) - 0012
uhgjlm13,HF12 Date left/joined (month) - 0013
uhgjlm14,HF12 Date left/joined (month) - 0014
uhgjlm15,HF12 Date left/joined (month) - 0015
uhgjlm16,HF12 Date left/joined (month) - 0016
uhgjlm17,HF12 Date left/joined (month) - 0017
uhgjlm18,HF12 Date left/joined (month) - 0018
uhgjlm19,HF12 Date left/joined (month) - 0019
uhgjlm20,HF12 Date left/joined (month) - 0020
uhgjly1,HF12 Date left/joined (year) - 0001
uhgjly2,HF12 Date left/joined (year) - 0002
uhgjly3,HF12 Date left/joined (year) - 0003
uhgjly4,HF12 Date left/joined (year) - 0004
uhgjly5,HF12 Date left/joined (year) - 0005
uhgjly6,HF12 Date left/joined (year) - 0006
uhgjly7,HF12 Date left/joined (year) - 0007
uhgjly8,HF12 Date left/joined (year) - 0008
uhgjly9,HF12 Date left/joined (year) - 0009
uhgjly10,HF12 Date left/joined (year) - 0010
uhgjly11,HF12 Date left/joined (year) - 0011
uhgjly12,HF12 Date left/joined (year) - 0012
uhgjly13,HF12 Date left/joined (year) - 0013
uhgjly14,HF12 Date left/joined (year) - 0014
uhgjly15,HF12 Date left/joined (year) - 0015
uhgjly16,HF12 Date left/joined (year) - 0016
uhgjly17,HF12 Date left/joined (year) - 0017
uhgjly18,HF12 Date left/joined (year) - 0018
uhgjly19,HF12 Date left/joined (year) - 0019
uhgjly20,HF12 Date left/joined (year) - 0020
uhgnlc1,HF13 New location - 0001
uhgnlc2,HF13 New location - 0002
uhgnlc3,HF13 New location - 0003
uhgnlc4,HF13 New location - 0004
uhgnlc5,HF13 New location - 0005
uhgnlc6,HF13 New location - 0006
uhgnlc7,HF13 New location - 0007
uhgnlc8,HF13 New location - 0008
uhgnlc9,HF13 New location - 0009
uhgnlc10,HF13 New location - 0010
uhgnlc11,HF13 New location - 0011
uhgnlc12,HF13 New location - 0012
uhgnlc13,HF13 New location - 0013
uhgnlc14,HF13 New location - 0014
uhgnlc15,HF13 New location - 0015
uhgnlc16,HF13 New location - 0016
uhgnlc17,HF13 New location - 0017
uhgnlc18,HF13 New location - 0018
uhgnlc19,HF13 New location - 0019
uhgnlc20,HF13 New location - 0020
uhges1,"HF16 Employment status on Household Form, answered by one person in household - 0001"
uhges2,"HF16 Employment status on Household Form, answered by one person in household - 0002"
uhges3,"HF16 Employment status on Household Form, answered by one person in household - 0003"
uhges4,"HF16 Employment status on Household Form, answered by one person in household - 0004"
uhges5,"HF16 Employment status on Household Form, answered by one person in household - 0005"
uhges6,"HF16 Employment status on Household Form, answered by one person in household - 0006"
uhges7,"HF16 Employment status on Household Form, answered by one person in household - 0007"
uhges8,"HF16 Employment status on Household Form, answered by one person in household - 0008"
uhges9,"HF16 Employment status on Household Form, answered by one person in household - 0009"
uhges10,"HF16 Employment status on Household Form, answered by one person in household - 0010"
uhges11,"HF16 Employment status on Household Form, answered by one person in household - 0011"
uhges12,"HF16 Employment status on Household Form, answered by one person in household - 0012"
uhges13,"HF16 Employment status on Household Form, answered by one person in household - 0013"
uhges14,"HF16 Employment status on Household Form, answered by one person in household - 0014"
uhges15,"HF16 Employment status on Household Form, answered by one person in household - 0015"
uhges16,"HF16 Employment status on Household Form, answered by one person in household - 0016"
uhges17,"HF16 Employment status on Household Form, answered by one person in household - 0017"
uhges18,"HF16 Employment status on Household Form, answered by one person in household - 0018"
uhges19,"HF16 Employment status on Household Form, answered by one person in household - 0019"
uhges20,"HF16 Employment status on Household Form, answered by one person in household - 0020"
uhglth1,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0001"
uhglth2,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0002"
uhglth3,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0003"
uhglth4,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0004"
uhglth5,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0005"
uhglth6,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0006"
uhglth7,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0007"
uhglth8,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0008"
uhglth9,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0009"
uhglth10,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0010"
uhglth11,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0011"
uhglth12,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0012"
uhglth13,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0013"
uhglth14,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0014"
uhglth15,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0015"
uhglth16,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0016"
uhglth17,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0017"
uhglth18,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0018"
uhglth19,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0019"
uhglth20,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0020"
uhgri1,HF19 Initial stage individual interview outcome - 0001
uhgri2,HF19 Initial stage individual interview outcome - 0002
uhgri3,HF19 Initial stage individual interview outcome - 0003
uhgri4,HF19 Initial stage individual interview outcome - 0004
uhgri5,HF19 Initial stage individual interview outcome - 0005
uhgri6,HF19 Initial stage individual interview outcome - 0006
uhgri7,HF19 Initial stage individual interview outcome - 0007
uhgri8,HF19 Initial stage individual interview outcome - 0008
uhgri9,HF19 Initial stage individual interview outcome - 0009
uhgri10,HF19 Initial stage individual interview outcome - 0010
uhgri11,HF19 Initial stage individual interview outcome - 0011
uhgri12,HF19 Initial stage individual interview outcome - 0012
uhgri13,HF19 Initial stage individual interview outcome - 0013
uhgri14,HF19 Initial stage individual interview outcome - 0014
uhgri15,HF19 Initial stage individual interview outcome - 0015
uhgri16,HF19 Initial stage individual interview outcome - 0016
uhgri17,HF19 Initial stage individual interview outcome - 0017
uhgri18,HF19 Initial stage individual interview outcome - 0018
uhgri19,HF19 Initial stage individual interview outcome - 0019
uhgri20,HF19 Initial stage individual interview outcome - 0020
uhgrf1,HF19 Follow-up stage individual interview outcome - 0001
uhgrf2,HF19 Follow-up stage individual interview outcome - 0002
uhgrf3,HF19 Follow-up stage individual interview outcome - 0003
uhgrf4,HF19 Follow-up stage individual interview outcome - 0004
uhgrf5,HF19 Follow-up stage individual interview outcome - 0005
uhgrf6,HF19 Follow-up stage individual interview outcome - 0006
uhgrf7,HF19 Follow-up stage individual interview outcome - 0007
uhgrf8,HF19 Follow-up stage individual interview outcome - 0008
uhgrf9,HF19 Follow-up stage individual interview outcome - 0009
uhgrf10,HF19 Follow-up stage individual interview outcome - 0010
uhgrf11,HF19 Follow-up stage individual interview outcome - 0011
uhgrf12,HF19 Follow-up stage individual interview outcome - 0012
uhgrf13,HF19 Follow-up stage individual interview outcome - 0013
uhgrf14,HF19 Follow-up stage individual interview outcome - 0014
uhgrf15,HF19 Follow-up stage individual interview outcome - 0015
uhgrf16,HF19 Follow-up stage individual interview outcome - 0016
uhgrf17,HF19 Follow-up stage individual interview outcome - 0017
uhgrf18,HF19 Follow-up stage individual interview outcome - 0018
uhgrf19,HF19 Follow-up stage individual interview outcome - 0019
uhgrf20,HF19 Follow-up stage individual interview outcome - 0020
uhgivw1,HF19 Final Individual interview outcome - 0001
uhgivw2,HF19 Final Individual interview outcome - 0002
uhgivw3,HF19 Final Individual interview outcome - 0003
uhgivw4,HF19 Final Individual interview outcome - 0004
uhgivw5,HF19 Final Individual interview outcome - 0005
uhgivw6,HF19 Final Individual interview outcome - 0006
uhgivw7,HF19 Final Individual interview outcome - 0007
uhgivw8,HF19 Final Individual interview outcome - 0008
uhgivw9,HF19 Final Individual interview outcome - 0009
uhgivw10,HF19 Final Individual interview outcome - 0010
uhgivw11,HF19 Final Individual interview outcome - 0011
uhgivw12,HF19 Final Individual interview outcome - 0012
uhgivw13,HF19 Final Individual interview outcome - 0013
uhgivw14,HF19 Final Individual interview outcome - 0014
uhgivw15,HF19 Final Individual interview outcome - 0015
uhgivw16,HF19 Final Individual interview outcome - 0016
uhgivw17,HF19 Final Individual interview outcome - 0017
uhgivw18,HF19 Final Individual interview outcome - 0018
uhgivw19,HF19 Final Individual interview outcome - 0019
uhgivw20,HF19 Final Individual interview outcome - 0020
uhgscq1,HF20 Final Self completion office code - 0001
uhgscq2,HF20 Final Self completion office code - 0002
uhgscq3,HF20 Final Self completion office code - 0003
uhgscq4,HF20 Final Self completion office code - 0004
uhgscq5,HF20 Final Self completion office code - 0005
uhgscq6,HF20 Final Self completion office code - 0006
uhgscq7,HF20 Final Self completion office code - 0007
uhgscq8,HF20 Final Self completion office code - 0008
uhgscq9,HF20 Final Self completion office code - 0009
uhgscq10,HF20 Final Self completion office code - 0010
uhgscq11,HF20 Final Self completion office code - 0011
uhgscq12,HF20 Final Self completion office code - 0012
uhgscq13,HF20 Final Self completion office code - 0013
uhgscq14,HF20 Final Self completion office code - 0014
uhgscq15,HF20 Final Self completion office code - 0015
uhgscq16,HF20 Final Self completion office code - 0016
uhgscq17,HF20 Final Self completion office code - 0017
uhgscq18,HF20 Final Self completion office code - 0018
uhgscq19,HF20 Final Self completion office code - 0019
uhgscq20,HF20 Final Self completion office code - 0020
uhhfat,HF26a This wave approaches
uhhfan,HF26a Next wave approaches
uhhf2fpt,HF26b This wave - Why phone this household first
uhhf2fpn,HF26b Next wave - Why phone this household first
uhhaf2ft,HF26c This wave - Why should all approaches be face to face
uhhaf2fn,HF26c Next wave - Why should all approaches be face to face
udorirea,HF27 Initial stage refusal reason
udorfrea,HF27 Follow-up stage refusal reason
uhhrespi,HF30 Initial stage household response status
uhhrespf,HF30 Follow-up stage household response status
uhhresp,HF30 Final household response status
urx02_01,Person 02 is the (relationship) of person 01
urx03_01,Person 03 is the (relationship) of person 01
urx03_02,Person 03 is the (relationship) of person 02
urx04_01,Person 04 is the (relationship) of person 01
urx04_02,Person 04 is the (relationship) of person 02
urx04_03,Person 04 is the (relationship) of person 03
urx05_01,Person 05 is the (relationship) of person 01
urx05_02,Person 05 is the (relationship) of person 02
urx05_03,Person 05 is the (relationship) of person 03
urx05_04,Person 05 is the (relationship) of person 04
urx06_01,Person 06 is the (relationship) of person 01
urx06_02,Person 06 is the (relationship) of person 02
urx06_03,Person 06 is the (relationship) of person 03
urx06_04,Person 06 is the (relationship) of person 04
urx06_05,Person 06 is the (relationship) of person 05
urx07_01,Person 07 is the (relationship) of person 01
urx07_02,Person 07 is the (relationship) of person 02
urx07_03,Person 07 is the (relationship) of person 03
urx07_04,Person 07 is the (relationship) of person 04
urx07_05,Person 07 is the (relationship) of person 05
urx07_06,Person 07 is the (relationship) of person 06
urx08_01,Person 08 is the (relationship) of person 01
urx08_02,Person 08 is the (relationship) of person 02
urx08_03,Person 08 is the (relationship) of person 03
urx08_04,Person 08 is the (relationship) of person 04
urx08_05,Person 08 is the (relationship) of person 05
urx08_06,Person 08 is the (relationship) of person 06
urx08_07,Person 08 is the (relationship) of person 07
urx09_01,Person 09 is the (relationship) of person 01
urx09_02,Person 09 is the (relationship) of person 02
urx09_03,Person 09 is the (relationship) of person 03
urx09_04,Person 09 is the (relationship) of person 04
urx09_05,Person 09 is the (relationship) of person 05
urx09_06,Person 09 is the (relationship) of person 06
urx09_07,Person 09 is the (relationship) of person 07
urx09_08,Person 09 is the (relationship) of person 08
urx10_01,Person 10 is the (relationship) of person 01
urx10_02,Person 10 is the (relationship) of person 02
urx10_03,Person 10 is the (relationship) of person 03
urx10_04,Person 10 is the (relationship) of person 04
urx10_05,Person 10 is the (relationship) of person 05
urx10_06,Person 10 is the (relationship) of person 06
urx10_07,Person 10 is the (relationship) of person 07
urx10_08,Person 10 is the (relationship) of person 08
urx10_09,Person 10 is the (relationship) of person 09
urx11_01,Person 11 is the (relationship) of person 01
urx11_02,Person 11 is the (relationship) of person 02
urx11_03,Person 11 is the (relationship) of person 03
urx11_04,Person 11 is the (relationship) of person 04
urx11_05,Person 11 is the (relationship) of person 05
urx11_06,Person 11 is the (relationship) of person 06
urx11_07,Person 11 is the (relationship) of person 07
urx11_08,Person 11 is the (relationship) of person 08
urx11_09,Person 11 is the (relationship) of person 09
urx11_10,Person 11 is the (relationship) of person 10
urx12_01,Person 12 is the (relationship) of person 01
urx12_02,Person 12 is the (relationship) of person 02
urx12_03,Person 12 is the (relationship) of person 03
urx12_04,Person 12 is the (relationship) of person 04
urx12_05,Person 12 is the (relationship) of person 05
urx12_06,Person 12 is the (relationship) of person 06
urx12_07,Person 12 is the (relationship) of person 07
urx12_08,Person 12 is the (relationship) of person 08
urx12_09,Person 12 is the (relationship) of person 09
urx12_10,Person 12 is the (relationship) of person 10
urx12_11,Person 12 is the (relationship) of person 11
urx13_01,Person 13 is the (relationship) of person 01
urx13_02,Person 13 is the (relationship) of person 02
urx13_03,Person 13 is the (relationship) of person 03
urx13_04,Person 13 is the (relationship) of person 04
urx13_05,Person 13 is the (relationship) of person 05
urx13_06,Person 13 is the (relationship) of person 06
urx13_07,Person 13 is the (relationship) of person 07
urx13_08,Person 13 is the (relationship) of person 08
urx13_09,Person 13 is the (relationship) of person 09
urx13_10,Person 13 is the (relationship) of person 10
urx13_11,Person 13 is the (relationship) of person 11
urx13_12,Person 13 is the (relationship) of person 12
urx14_01,Person 14 is the (relationship) of person 01
urx14_02,Person 14 is the (relationship) of person 02
urx14_03,Person 14 is the (relationship) of person 03
urx14_04,Person 14 is the (relationship) of person 04
urx14_05,Person 14 is the (relationship) of person 05
urx14_06,Person 14 is the (relationship) of person 06
urx14_07,Person 14 is the (relationship) of person 07
urx14_08,Person 14 is the (relationship) of person 08
urx14_09,Person 14 is the (relationship) of person 09
urx14_10,Person 14 is the (relationship) of person 10
urx14_11,Person 14 is the (relationship) of person 11
urx14_12,Person 14 is the (relationship) of person 12
urx14_13,Person 14 is the (relationship) of person 13
urx15_01,Person 15 is the (relationship) of person 01
urx15_02,Person 15 is the (relationship) of person 02
urx15_03,Person 15 is the (relationship) of person 03
urx15_04,Person 15 is the (relationship) of person 04
urx15_05,Person 15 is the (relationship) of person 05
urx15_06,Person 15 is the (relationship) of person 06
urx15_07,Person 15 is the (relationship) of person 07
urx15_08,Person 15 is the (relationship) of person 08
urx15_09,Person 15 is the (relationship) of person 09
urx15_10,Person 15 is the (relationship) of person 10
urx15_11,Person 15 is the (relationship) of person 11
urx15_12,Person 15 is the (relationship) of person 12
urx15_13,Person 15 is the (relationship) of person 13
urx15_14,Person 15 is the (relationship) of person 14
urx16_01,Person 16 is the (relationship) of person 01
urx16_02,Person 16 is the (relationship) of person 02
urx16_03,Person 16 is the (relationship) of person 03
urx16_04,Person 16 is the (relationship) of person 04
urx16_05,Person 16 is the (relationship) of person 05
urx16_06,Person 16 is the (relationship) of person 06
urx16_07,Person 16 is the (relationship) of person 07
urx16_08,Person 16 is the (relationship) of person 08
urx16_09,Person 16 is the (relationship) of person 09
urx16_10,Person 16 is the (relationship) of person 10
urx16_11,Person 16 is the (relationship) of person 11
urx16_12,Person 16 is the (relationship) of person 12
urx16_13,Person 16 is the (relationship) of person 13
urx16_14,Person 16 is the (relationship) of person 14
urx16_15,Person 16 is the (relationship) of person 15
urx17_01,Person 17 is the (relationship) of person 01
urx17_02,Person 17 is the (relationship) of person 02
urx17_03,Person 17 is the (relationship) of person 03
urx17_04,Person 17 is the (relationship) of person 04
urx17_05,Person 17 is the (relationship) of person 05
urx17_06,Person 17 is the (relationship) of person 06
urx17_07,Person 17 is the (relationship) of person 07
urx17_08,Person 17 is the (relationship) of person 08
urx17_09,Person 17 is the (relationship) of person 09
urx17_10,Person 17 is the (relationship) of person 10
urx17_11,Person 17 is the (relationship) of person 11
urx17_12,Person 17 is the (relationship) of person 12
urx17_13,Person 17 is the (relationship) of person 13
urx17_14,Person 17 is the (relationship) of person 14
urx17_15,Person 17 is the (relationship) of person 15
urx17_16,Person 17 is the (relationship) of person 16
urx18_01,Person 18 is the (relationship) of person 01
urx18_02,Person 18 is the (relationship) of person 02
urx18_03,Person 18 is the (relationship) of person 03
urx18_04,Person 18 is the (relationship) of person 04
urx18_05,Person 18 is the (relationship) of person 05
urx18_06,Person 18 is the (relationship) of person 06
urx18_07,Person 18 is the (relationship) of person 07
urx18_08,Person 18 is the (relationship) of person 08
urx18_09,Person 18 is the (relationship) of person 09
urx18_10,Person 18 is the (relationship) of person 10
urx18_11,Person 18 is the (relationship) of person 11
urx18_12,Person 18 is the (relationship) of person 12
urx18_13,Person 18 is the (relationship) of person 13
urx18_14,Person 18 is the (relationship) of person 14
urx18_15,Person 18 is the (relationship) of person 15
urx18_16,Person 18 is the (relationship) of person 16
urx18_17,Person 18 is the (relationship) of person 17
urx19_01,Person 19 is the (relationship) of person 01
urx19_02,Person 19 is the (relationship) of person 02
urx19_03,Person 19 is the (relationship) of person 03
urx19_04,Person 19 is the (relationship) of person 04
urx19_05,Person 19 is the (relationship) of person 05
urx19_06,Person 19 is the (relationship) of person 06
urx19_07,Person 19 is the (relationship) of person 07
urx19_08,Person 19 is the (relationship) of person 08
urx19_09,Person 19 is the (relationship) of person 09
urx19_10,Person 19 is the (relationship) of person 10
urx19_11,Person 19 is the (relationship) of person 11
urx19_12,Person 19 is the (relationship) of person 12
urx19_13,Person 19 is the (relationship) of person 13
urx19_14,Person 19 is the (relationship) of person 14
urx19_15,Person 19 is the (relationship) of person 15
urx19_16,Person 19 is the (relationship) of person 16
urx19_17,Person 19 is the (relationship) of person 17
urx19_18,Person 19 is the (relationship) of person 18
urx20_01,Person 20 is the (relationship) of person 01
urx20_02,Person 20 is the (relationship) of person 02
urx20_03,Person 20 is the (relationship) of person 03
urx20_04,Person 20 is the (relationship) of person 04
urx20_05,Person 20 is the (relationship) of person 05
urx20_06,Person 20 is the (relationship) of person 06
urx20_07,Person 20 is the (relationship) of person 07
urx20_08,Person 20 is the (relationship) of person 08
urx20_09,Person 20 is the (relationship) of person 09
urx20_10,Person 20 is the (relationship) of person 10
urx20_11,Person 20 is the (relationship) of person 11
urx20_12,Person 20 is the (relationship) of person 12
urx20_13,Person 20 is the (relationship) of person 13
urx20_14,Person 20 is the (relationship) of person 14
