name,label,include
uhgxid18,HF2 Cross wave ID (xwaveid) - 0018,FALSE
uhgxid19,HF2 Cross wave ID (xwaveid) - 0019,FALSE
uhgxid20,HF2 Cross wave ID (xwaveid) - 0020,FALSE
uhgwli1,HF4b Wave last interviewed - 0001,FALSE
uhgwli2,HF4b Wave last interviewed - 0002,FALSE
uhgwli3,HF4b Wave last interviewed - 0003,FALSE
uhgwli4,HF4b Wave last interviewed - 0004,FALSE
uhgwli5,HF4b Wave last interviewed - 0005,FALSE
uhgwli6,HF4b Wave last interviewed - 0006,FALSE
uhgwli7,HF4b Wave last interviewed - 0007,FALSE
uhgwli8,HF4b Wave last interviewed - 0008,FALSE
uhgwli9,HF4b Wave last interviewed - 0009,FALSE
uhgwli10,HF4b Wave last interviewed - 0010,FALSE
uhgwli11,HF4b Wave last interviewed - 0011,FALSE
uhgwli12,HF4b Wave last interviewed - 0012,FALSE
uhgwli13,HF4b Wave last interviewed - 0013,FALSE
uhgwli14,HF4b Wave last interviewed - 0014,FALSE
uhgwli15,HF4b Wave last interviewed - 0015,FALSE
uhgwli16,HF4b Wave last interviewed - 0016,FALSE
uhgwli17,HF4b Wave last interviewed - 0017,FALSE
uhgwli18,HF4b Wave last interviewed - 0018,FALSE
uhgwli19,HF4b Wave last interviewed - 0019,FALSE
uhgwli20,HF4b Wave last interviewed - 0020,FALSE
uhgdli1,HF4b Date last interviewed - 0001,FALSE
uhgdli2,HF4b Date last interviewed - 0002,FALSE
uhgdli3,HF4b Date last interviewed - 0003,FALSE
uhgdli4,HF4b Date last interviewed - 0004,FALSE
uhgdli5,HF4b Date last interviewed - 0005,FALSE
uhgdli6,HF4b Date last interviewed - 0006,FALSE
uhgdli7,HF4b Date last interviewed - 0007,FALSE
uhgdli8,HF4b Date last interviewed - 0008,FALSE
uhgdli9,HF4b Date last interviewed - 0009,FALSE
uhgdli10,HF4b Date last interviewed - 0010,FALSE
uhgdli11,HF4b Date last interviewed - 0011,FALSE
uhgdli12,HF4b Date last interviewed - 0012,FALSE
uhgdli13,HF4b Date last interviewed - 0013,FALSE
uhgdli14,HF4b Date last interviewed - 0014,FALSE
uhgdli15,HF4b Date last interviewed - 0015,FALSE
uhgdli16,HF4b Date last interviewed - 0016,FALSE
uhgdli17,HF4b Date last interviewed - 0017,FALSE
uhgdli18,HF4b Date last interviewed - 0018,FALSE
uhgdli19,HF4b Date last interviewed - 0019,FALSE
uhgdli20,HF4b Date last interviewed - 0020,FALSE
uhgsex1,HF5 Sex - 0001,FALSE
uhgsex2,HF5 Sex - 0002,FALSE
uhgsex3,HF5 Sex - 0003,FALSE
uhgsex4,HF5 Sex - 0004,FALSE
uhgsex5,HF5 Sex - 0005,FALSE
uhgsex6,HF5 Sex - 0006,FALSE
uhgsex7,HF5 Sex - 0007,FALSE
uhgsex8,HF5 Sex - 0008,FALSE
uhgsex9,HF5 Sex - 0009,FALSE
uhgsex10,HF5 Sex - 0010,FALSE
uhgsex11,HF5 Sex - 0011,FALSE
uhgsex12,HF5 Sex - 0012,FALSE
uhgsex13,HF5 Sex - 0013,FALSE
uhgsex14,HF5 Sex - 0014,FALSE
uhgsex15,HF5 Sex - 0015,FALSE
uhgsex16,HF5 Sex - 0016,FALSE
uhgsex17,HF5 Sex - 0017,FALSE
uhgsex18,HF5 Sex - 0018,FALSE
uhgsex19,HF5 Sex - 0019,FALSE
uhgsex20,HF5 Sex - 0020,FALSE
uhgdob1,HF6 Date of birth - 0001,FALSE
uhgdob2,HF6 Date of birth - 0002,FALSE
uhgdob3,HF6 Date of birth - 0003,FALSE
uhgdob4,HF6 Date of birth - 0004,FALSE
uhgdob5,HF6 Date of birth - 0005,FALSE
uhgdob6,HF6 Date of birth - 0006,FALSE
uhgdob7,HF6 Date of birth - 0007,FALSE
uhgdob8,HF6 Date of birth - 0008,FALSE
uhgdob9,HF6 Date of birth - 0009,FALSE
uhgdob10,HF6 Date of birth - 0010,FALSE
uhgdob11,HF6 Date of birth - 0011,FALSE
uhgdob12,HF6 Date of birth - 0012,FALSE
uhgdob13,HF6 Date of birth - 0013,FALSE
uhgdob14,HF6 Date of birth - 0014,FALSE
uhgdob15,HF6 Date of birth - 0015,FALSE
uhgdob16,HF6 Date of birth - 0016,FALSE
uhgdob17,HF6 Date of birth - 0017,FALSE
uhgdob18,HF6 Date of birth - 0018,FALSE
uhgdob19,HF6 Date of birth - 0019,FALSE
uhgdob20,HF6 Date of birth - 0020,FALSE
uhgage1,DV: Age last birthday at June 30 2021 - person 01,FALSE
uhgage2,DV: Age last birthday at June 30 2021 - person 02,FALSE
uhgage3,DV: Age last birthday at June 30 2021 - person 03,FALSE
uhgage4,DV: Age last birthday at June 30 2021 - person 04,FALSE
uhgage5,DV: Age last birthday at June 30 2021 - person 05,FALSE
uhgage6,DV: Age last birthday at June 30 2021 - person 06,FALSE
uhgage7,DV: Age last birthday at June 30 2021 - person 07,FALSE
uhgage8,DV: Age last birthday at June 30 2021 - person 08,FALSE
uhgage9,DV: Age last birthday at June 30 2021 - person 09,FALSE
uhgage10,DV: Age last birthday at June 30 2021 - person 10,FALSE
uhgage11,DV: Age last birthday at June 30 2021 - person 11,FALSE
uhgage12,DV: Age last birthday at June 30 2021 - person 12,FALSE
uhgage13,DV: Age last birthday at June 30 2021 - person 13,FALSE
uhgage14,DV: Age last birthday at June 30 2021 - person 14,FALSE
uhgage15,DV: Age last birthday at June 30 2021 - person 15,FALSE
uhgage16,DV: Age last birthday at June 30 2021 - person 16,FALSE
uhgage17,DV: Age last birthday at June 30 2021 - person 17,FALSE
uhgage18,DV: Age last birthday at June 30 2021 - person 18,FALSE
uhgage19,DV: Age last birthday at June 30 2021 - person 19,FALSE
uhgage20,DV: Age last birthday at June 30 2021 - person 20,FALSE
uhghhm1,HF8 Household membership - 0001,FALSE
uhghhm2,HF8 Household membership - 0002,FALSE
uhghhm3,HF8 Household membership - 0003,FALSE
uhghhm4,HF8 Household membership - 0004,FALSE
uhghhm5,HF8 Household membership - 0005,FALSE
uhghhm6,HF8 Household membership - 0006,FALSE
uhghhm7,HF8 Household membership - 0007,FALSE
uhghhm8,HF8 Household membership - 0008,FALSE
uhghhm9,HF8 Household membership - 0009,FALSE
uhghhm10,HF8 Household membership - 0010,FALSE
uhghhm11,HF8 Household membership - 0011,FALSE
uhghhm12,HF8 Household membership - 0012,FALSE
uhghhm13,HF8 Household membership - 0013,FALSE
uhghhm14,HF8 Household membership - 0014,FALSE
uhghhm15,HF8 Household membership - 0015,FALSE
uhghhm16,HF8 Household membership - 0016,FALSE
uhghhm17,HF8 Household membership - 0017,FALSE
uhghhm18,HF8 Household membership - 0018,FALSE
uhghhm19,HF8 Household membership - 0019,FALSE
uhghhm20,HF8 Household membership - 0020,FALSE
uhgylv1,HF10 Why living with - 0001,FALSE
uhgylv2,HF10 Why living with - 0002,FALSE
uhgylv3,HF10 Why living with - 0003,FALSE
uhgylv4,HF10 Why living with - 0004,FALSE
uhgylv5,HF10 Why living with - 0005,FALSE
uhgylv6,HF10 Why living with - 0006,FALSE
uhgylv7,HF10 Why living with - 0007,FALSE
uhgylv8,HF10 Why living with - 0008,FALSE
uhgylv9,HF10 Why living with - 0009,FALSE
uhgylv10,HF10 Why living with - 0010,FALSE
uhgylv11,HF10 Why living with - 0011,FALSE
uhgylv12,HF10 Why living with - 0012,FALSE
uhgylv13,HF10 Why living with - 0013,FALSE
uhgylv14,HF10 Why living with - 0014,FALSE
uhgylv15,HF10 Why living with - 0015,FALSE
uhgylv16,HF10 Why living with - 0016,FALSE
uhgylv17,HF10 Why living with - 0017,FALSE
uhgylv18,HF10 Why living with - 0018,FALSE
uhgylv19,HF10 Why living with - 0019,FALSE
uhgylv20,HF10 Why living with - 0020,FALSE
uhgylf1,HF11 Why left - 0001,FALSE
uhgylf2,HF11 Why left - 0002,FALSE
uhgylf3,HF11 Why left - 0003,FALSE
uhgylf4,HF11 Why left - 0004,FALSE
uhgylf5,HF11 Why left - 0005,FALSE
uhgylf6,HF11 Why left - 0006,FALSE
uhgylf7,HF11 Why left - 0007,FALSE
uhgylf8,HF11 Why left - 0008,FALSE
uhgylf9,HF11 Why left - 0009,FALSE
uhgylf10,HF11 Why left - 0010,FALSE
uhgylf11,HF11 Why left - 0011,FALSE
uhgylf12,HF11 Why left - 0012,FALSE
uhgylf13,HF11 Why left - 0013,FALSE
uhgylf14,HF11 Why left - 0014,FALSE
uhgylf15,HF11 Why left - 0015,FALSE
uhgylf16,HF11 Why left - 0016,FALSE
uhgylf17,HF11 Why left - 0017,FALSE
uhgylf18,HF11 Why left - 0018,FALSE
uhgylf19,HF11 Why left - 0019,FALSE
uhgylf20,HF11 Why left - 0020,FALSE
uhgjlm1,HF12 Date left/joined (month) - 0001,FALSE
uhgjlm2,HF12 Date left/joined (month) - 0002,FALSE
uhgjlm3,HF12 Date left/joined (month) - 0003,FALSE
uhgjlm4,HF12 Date left/joined (month) - 0004,FALSE
uhgjlm5,HF12 Date left/joined (month) - 0005,FALSE
uhgjlm6,HF12 Date left/joined (month) - 0006,FALSE
uhgjlm7,HF12 Date left/joined (month) - 0007,FALSE
uhgjlm8,HF12 Date left/joined (month) - 0008,FALSE
uhgjlm9,HF12 Date left/joined (month) - 0009,FALSE
uhgjlm10,HF12 Date left/joined (month) - 0010,FALSE
uhgjlm11,HF12 Date left/joined (month) - 0011,FALSE
uhgjlm12,HF12 Date left/joined (month) - 0012,FALSE
uhgjlm13,HF12 Date left/joined (month) - 0013,FALSE
uhgjlm14,HF12 Date left/joined (month) - 0014,FALSE
uhgjlm15,HF12 Date left/joined (month) - 0015,FALSE
uhgjlm16,HF12 Date left/joined (month) - 0016,FALSE
uhgjlm17,HF12 Date left/joined (month) - 0017,FALSE
uhgjlm18,HF12 Date left/joined (month) - 0018,FALSE
uhgjlm19,HF12 Date left/joined (month) - 0019,FALSE
uhgjlm20,HF12 Date left/joined (month) - 0020,FALSE
uhgjly1,HF12 Date left/joined (year) - 0001,FALSE
uhgjly2,HF12 Date left/joined (year) - 0002,FALSE
uhgjly3,HF12 Date left/joined (year) - 0003,FALSE
uhgjly4,HF12 Date left/joined (year) - 0004,FALSE
uhgjly5,HF12 Date left/joined (year) - 0005,FALSE
uhgjly6,HF12 Date left/joined (year) - 0006,FALSE
uhgjly7,HF12 Date left/joined (year) - 0007,FALSE
uhgjly8,HF12 Date left/joined (year) - 0008,FALSE
uhgjly9,HF12 Date left/joined (year) - 0009,FALSE
uhgjly10,HF12 Date left/joined (year) - 0010,FALSE
uhgjly11,HF12 Date left/joined (year) - 0011,FALSE
uhgjly12,HF12 Date left/joined (year) - 0012,FALSE
uhgjly13,HF12 Date left/joined (year) - 0013,FALSE
uhgjly14,HF12 Date left/joined (year) - 0014,FALSE
uhgjly15,HF12 Date left/joined (year) - 0015,FALSE
uhgjly16,HF12 Date left/joined (year) - 0016,FALSE
uhgjly17,HF12 Date left/joined (year) - 0017,FALSE
uhgjly18,HF12 Date left/joined (year) - 0018,FALSE
uhgjly19,HF12 Date left/joined (year) - 0019,FALSE
uhgjly20,HF12 Date left/joined (year) - 0020,FALSE
uhgnlc1,HF13 New location - 0001,FALSE
uhgnlc2,HF13 New location - 0002,FALSE
uhgnlc3,HF13 New location - 0003,FALSE
uhgnlc4,HF13 New location - 0004,FALSE
uhgnlc5,HF13 New location - 0005,FALSE
uhgnlc6,HF13 New location - 0006,FALSE
uhgnlc7,HF13 New location - 0007,FALSE
uhgnlc8,HF13 New location - 0008,FALSE
uhgnlc9,HF13 New location - 0009,FALSE
uhgnlc10,HF13 New location - 0010,FALSE
uhgnlc11,HF13 New location - 0011,FALSE
uhgnlc12,HF13 New location - 0012,FALSE
uhgnlc13,HF13 New location - 0013,FALSE
uhgnlc14,HF13 New location - 0014,FALSE
uhgnlc15,HF13 New location - 0015,FALSE
uhgnlc16,HF13 New location - 0016,FALSE
uhgnlc17,HF13 New location - 0017,FALSE
uhgnlc18,HF13 New location - 0018,FALSE
uhgnlc19,HF13 New location - 0019,FALSE
uhgnlc20,HF13 New location - 0020,FALSE
uhges1,"HF16 Employment status on Household Form, answered by one person in household - 0001",FALSE
uhges2,"HF16 Employment status on Household Form, answered by one person in household - 0002",FALSE
uhges3,"HF16 Employment status on Household Form, answered by one person in household - 0003",FALSE
uhges4,"HF16 Employment status on Household Form, answered by one person in household - 0004",FALSE
uhges5,"HF16 Employment status on Household Form, answered by one person in household - 0005",FALSE
uhges6,"HF16 Employment status on Household Form, answered by one person in household - 0006",FALSE
uhges7,"HF16 Employment status on Household Form, answered by one person in household - 0007",FALSE
uhges8,"HF16 Employment status on Household Form, answered by one person in household - 0008",FALSE
uhges9,"HF16 Employment status on Household Form, answered by one person in household - 0009",FALSE
uhges10,"HF16 Employment status on Household Form, answered by one person in household - 0010",FALSE
uhges11,"HF16 Employment status on Household Form, answered by one person in household - 0011",FALSE
uhges12,"HF16 Employment status on Household Form, answered by one person in household - 0012",FALSE
uhges13,"HF16 Employment status on Household Form, answered by one person in household - 0013",FALSE
uhges14,"HF16 Employment status on Household Form, answered by one person in household - 0014",FALSE
uhges15,"HF16 Employment status on Household Form, answered by one person in household - 0015",FALSE
uhges16,"HF16 Employment status on Household Form, answered by one person in household - 0016",FALSE
uhges17,"HF16 Employment status on Household Form, answered by one person in household - 0017",FALSE
uhges18,"HF16 Employment status on Household Form, answered by one person in household - 0018",FALSE
uhges19,"HF16 Employment status on Household Form, answered by one person in household - 0019",FALSE
uhges20,"HF16 Employment status on Household Form, answered by one person in household - 0020",FALSE
uhglth1,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0001",FALSE
uhglth2,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0002",FALSE
uhglth3,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0003",FALSE
uhglth4,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0004",FALSE
uhglth5,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0005",FALSE
uhglth6,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0006",FALSE
uhglth7,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0007",FALSE
uhglth8,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0008",FALSE
uhglth9,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0009",FALSE
uhglth10,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0010",FALSE
uhglth11,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0011",FALSE
uhglth12,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0012",FALSE
uhglth13,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0013",FALSE
uhglth14,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0014",FALSE
uhglth15,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0015",FALSE
uhglth16,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0016",FALSE
uhglth17,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0017",FALSE
uhglth18,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0018",FALSE
uhglth19,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0019",FALSE
uhglth20,"HF17 Long term health condition, disability or impairment on Household Form, answered by one person in household - 0020",FALSE
uhgri1,HF19 Initial stage individual interview outcome - 0001,FALSE
uhgri2,HF19 Initial stage individual interview outcome - 0002,FALSE
uhgri3,HF19 Initial stage individual interview outcome - 0003,FALSE
uhgri4,HF19 Initial stage individual interview outcome - 0004,FALSE
uhgri5,HF19 Initial stage individual interview outcome - 0005,FALSE
uhgri6,HF19 Initial stage individual interview outcome - 0006,FALSE
uhgri7,HF19 Initial stage individual interview outcome - 0007,FALSE
uhgri8,HF19 Initial stage individual interview outcome - 0008,FALSE
uhgri9,HF19 Initial stage individual interview outcome - 0009,FALSE
uhgri10,HF19 Initial stage individual interview outcome - 0010,FALSE
uhgri11,HF19 Initial stage individual interview outcome - 0011,FALSE
uhgri12,HF19 Initial stage individual interview outcome - 0012,FALSE
uhgri13,HF19 Initial stage individual interview outcome - 0013,FALSE
uhgri14,HF19 Initial stage individual interview outcome - 0014,FALSE
uhgri15,HF19 Initial stage individual interview outcome - 0015,FALSE
uhgri16,HF19 Initial stage individual interview outcome - 0016,FALSE
uhgri17,HF19 Initial stage individual interview outcome - 0017,FALSE
uhgri18,HF19 Initial stage individual interview outcome - 0018,FALSE
uhgri19,HF19 Initial stage individual interview outcome - 0019,FALSE
uhgri20,HF19 Initial stage individual interview outcome - 0020,FALSE
uhgrf1,HF19 Follow-up stage individual interview outcome - 0001,FALSE
uhgrf2,HF19 Follow-up stage individual interview outcome - 0002,FALSE
uhgrf3,HF19 Follow-up stage individual interview outcome - 0003,FALSE
uhgrf4,HF19 Follow-up stage individual interview outcome - 0004,FALSE
uhgrf5,HF19 Follow-up stage individual interview outcome - 0005,FALSE
uhgrf6,HF19 Follow-up stage individual interview outcome - 0006,FALSE
uhgrf7,HF19 Follow-up stage individual interview outcome - 0007,FALSE
uhgrf8,HF19 Follow-up stage individual interview outcome - 0008,FALSE
uhgrf9,HF19 Follow-up stage individual interview outcome - 0009,FALSE
uhgrf10,HF19 Follow-up stage individual interview outcome - 0010,FALSE
uhgrf11,HF19 Follow-up stage individual interview outcome - 0011,FALSE
uhgrf12,HF19 Follow-up stage individual interview outcome - 0012,FALSE
uhgrf13,HF19 Follow-up stage individual interview outcome - 0013,FALSE
uhgrf14,HF19 Follow-up stage individual interview outcome - 0014,FALSE
uhgrf15,HF19 Follow-up stage individual interview outcome - 0015,FALSE
uhgrf16,HF19 Follow-up stage individual interview outcome - 0016,FALSE
uhgrf17,HF19 Follow-up stage individual interview outcome - 0017,FALSE
uhgrf18,HF19 Follow-up stage individual interview outcome - 0018,FALSE
uhgrf19,HF19 Follow-up stage individual interview outcome - 0019,FALSE
uhgrf20,HF19 Follow-up stage individual interview outcome - 0020,FALSE
uhgivw1,HF19 Final Individual interview outcome - 0001,FALSE
uhgivw2,HF19 Final Individual interview outcome - 0002,FALSE
uhgivw3,HF19 Final Individual interview outcome - 0003,FALSE
uhgivw4,HF19 Final Individual interview outcome - 0004,FALSE
uhgivw5,HF19 Final Individual interview outcome - 0005,FALSE
uhgivw6,HF19 Final Individual interview outcome - 0006,FALSE
uhgivw7,HF19 Final Individual interview outcome - 0007,FALSE
uhgivw8,HF19 Final Individual interview outcome - 0008,FALSE
uhgivw9,HF19 Final Individual interview outcome - 0009,FALSE
uhgivw10,HF19 Final Individual interview outcome - 0010,FALSE
uhgivw11,HF19 Final Individual interview outcome - 0011,FALSE
uhgivw12,HF19 Final Individual interview outcome - 0012,FALSE
uhgivw13,HF19 Final Individual interview outcome - 0013,FALSE
uhgivw14,HF19 Final Individual interview outcome - 0014,FALSE
uhgivw15,HF19 Final Individual interview outcome - 0015,FALSE
uhgivw16,HF19 Final Individual interview outcome - 0016,FALSE
uhgivw17,HF19 Final Individual interview outcome - 0017,FALSE
uhgivw18,HF19 Final Individual interview outcome - 0018,FALSE
uhgivw19,HF19 Final Individual interview outcome - 0019,FALSE
uhgivw20,HF19 Final Individual interview outcome - 0020,FALSE
uhgscq1,HF20 Final Self completion office code - 0001,FALSE
uhgscq2,HF20 Final Self completion office code - 0002,FALSE
uhgscq3,HF20 Final Self completion office code - 0003,FALSE
uhgscq4,HF20 Final Self completion office code - 0004,FALSE
uhgscq5,HF20 Final Self completion office code - 0005,FALSE
uhgscq6,HF20 Final Self completion office code - 0006,FALSE
uhgscq7,HF20 Final Self completion office code - 0007,FALSE
uhgscq8,HF20 Final Self completion office code - 0008,FALSE
uhgscq9,HF20 Final Self completion office code - 0009,FALSE
uhgscq10,HF20 Final Self completion office code - 0010,FALSE
uhgscq11,HF20 Final Self completion office code - 0011,FALSE
uhgscq12,HF20 Final Self completion office code - 0012,FALSE
uhgscq13,HF20 Final Self completion office code - 0013,FALSE
uhgscq14,HF20 Final Self completion office code - 0014,FALSE
uhgscq15,HF20 Final Self completion office code - 0015,FALSE
uhgscq16,HF20 Final Self completion office code - 0016,FALSE
uhgscq17,HF20 Final Self completion office code - 0017,FALSE
uhgscq18,HF20 Final Self completion office code - 0018,FALSE
uhgscq19,HF20 Final Self completion office code - 0019,FALSE
uhgscq20,HF20 Final Self completion office code - 0020,FALSE
uhhfat,HF26a This wave approaches,FALSE
uhhfan,HF26a Next wave approaches,FALSE
uhhf2fpt,HF26b This wave - Why phone this household first,FALSE
uhhf2fpn,HF26b Next wave - Why phone this household first,FALSE
uhhaf2ft,HF26c This wave - Why should all approaches be face to face,FALSE
uhhaf2fn,HF26c Next wave - Why should all approaches be face to face,FALSE
udorirea,HF27 Initial stage refusal reason,FALSE
udorfrea,HF27 Follow-up stage refusal reason,FALSE
uhhrespi,HF30 Initial stage household response status,FALSE
uhhrespf,HF30 Follow-up stage household response status,FALSE
uhhresp,HF30 Final household response status,FALSE
urx02_01,Person 02 is the (relationship) of person 01,FALSE
urx03_01,Person 03 is the (relationship) of person 01,FALSE
urx03_02,Person 03 is the (relationship) of person 02,FALSE
urx04_01,Person 04 is the (relationship) of person 01,FALSE
urx04_02,Person 04 is the (relationship) of person 02,FALSE
urx04_03,Person 04 is the (relationship) of person 03,FALSE
urx05_01,Person 05 is the (relationship) of person 01,FALSE
urx05_02,Person 05 is the (relationship) of person 02,FALSE
urx05_03,Person 05 is the (relationship) of person 03,FALSE
urx05_04,Person 05 is the (relationship) of person 04,FALSE
urx06_01,Person 06 is the (relationship) of person 01,FALSE
urx06_02,Person 06 is the (relationship) of person 02,FALSE
urx06_03,Person 06 is the (relationship) of person 03,FALSE
urx06_04,Person 06 is the (relationship) of person 04,FALSE
urx06_05,Person 06 is the (relationship) of person 05,FALSE
urx07_01,Person 07 is the (relationship) of person 01,FALSE
urx07_02,Person 07 is the (relationship) of person 02,FALSE
urx07_03,Person 07 is the (relationship) of person 03,FALSE
urx07_04,Person 07 is the (relationship) of person 04,FALSE
urx07_05,Person 07 is the (relationship) of person 05,FALSE
urx07_06,Person 07 is the (relationship) of person 06,FALSE
urx08_01,Person 08 is the (relationship) of person 01,FALSE
urx08_02,Person 08 is the (relationship) of person 02,FALSE
urx08_03,Person 08 is the (relationship) of person 03,FALSE
urx08_04,Person 08 is the (relationship) of person 04,FALSE
urx08_05,Person 08 is the (relationship) of person 05,FALSE
urx08_06,Person 08 is the (relationship) of person 06,FALSE
urx08_07,Person 08 is the (relationship) of person 07,FALSE
urx09_01,Person 09 is the (relationship) of person 01,FALSE
urx09_02,Person 09 is the (relationship) of person 02,FALSE
urx09_03,Person 09 is the (relationship) of person 03,FALSE
urx09_04,Person 09 is the (relationship) of person 04,FALSE
urx09_05,Person 09 is the (relationship) of person 05,FALSE
urx09_06,Person 09 is the (relationship) of person 06,FALSE
urx09_07,Person 09 is the (relationship) of person 07,FALSE
urx09_08,Person 09 is the (relationship) of person 08,FALSE
urx10_01,Person 10 is the (relationship) of person 01,FALSE
urx10_02,Person 10 is the (relationship) of person 02,FALSE
urx10_03,Person 10 is the (relationship) of person 03,FALSE
urx10_04,Person 10 is the (relationship) of person 04,FALSE
urx10_05,Person 10 is the (relationship) of person 05,FALSE
urx10_06,Person 10 is the (relationship) of person 06,FALSE
urx10_07,Person 10 is the (relationship) of person 07,FALSE
urx10_08,Person 10 is the (relationship) of person 08,FALSE
urx10_09,Person 10 is the (relationship) of person 09,FALSE
urx11_01,Person 11 is the (relationship) of person 01,FALSE
urx11_02,Person 11 is the (relationship) of person 02,FALSE
urx11_03,Person 11 is the (relationship) of person 03,FALSE
urx11_04,Person 11 is the (relationship) of person 04,FALSE
urx11_05,Person 11 is the (relationship) of person 05,FALSE
urx11_06,Person 11 is the (relationship) of person 06,FALSE
urx11_07,Person 11 is the (relationship) of person 07,FALSE
urx11_08,Person 11 is the (relationship) of person 08,FALSE
urx11_09,Person 11 is the (relationship) of person 09,FALSE
urx11_10,Person 11 is the (relationship) of person 10,FALSE
urx12_01,Person 12 is the (relationship) of person 01,FALSE
urx12_02,Person 12 is the (relationship) of person 02,FALSE
urx12_03,Person 12 is the (relationship) of person 03,FALSE
urx12_04,Person 12 is the (relationship) of person 04,FALSE
urx12_05,Person 12 is the (relationship) of person 05,FALSE
urx12_06,Person 12 is the (relationship) of person 06,FALSE
urx12_07,Person 12 is the (relationship) of person 07,FALSE
urx12_08,Person 12 is the (relationship) of person 08,FALSE
urx12_09,Person 12 is the (relationship) of person 09,FALSE
urx12_10,Person 12 is the (relationship) of person 10,FALSE
urx12_11,Person 12 is the (relationship) of person 11,FALSE
urx13_01,Person 13 is the (relationship) of person 01,FALSE
urx13_02,Person 13 is the (relationship) of person 02,FALSE
urx13_03,Person 13 is the (relationship) of person 03,FALSE
urx13_04,Person 13 is the (relationship) of person 04,FALSE
urx13_05,Person 13 is the (relationship) of person 05,FALSE
urx13_06,Person 13 is the (relationship) of person 06,FALSE
urx13_07,Person 13 is the (relationship) of person 07,FALSE
urx13_08,Person 13 is the (relationship) of person 08,FALSE
urx13_09,Person 13 is the (relationship) of person 09,FALSE
urx13_10,Person 13 is the (relationship) of person 10,FALSE
urx13_11,Person 13 is the (relationship) of person 11,FALSE
urx13_12,Person 13 is the (relationship) of person 12,FALSE
urx14_01,Person 14 is the (relationship) of person 01,FALSE
urx14_02,Person 14 is the (relationship) of person 02,FALSE
urx14_03,Person 14 is the (relationship) of person 03,FALSE
urx14_04,Person 14 is the (relationship) of person 04,FALSE
urx14_05,Person 14 is the (relationship) of person 05,FALSE
